created_at,tweet_favorite_count,tweet_id,tweet_retweet_count,tweet_text,user_tweet_count,user_follower_count,user_following_count
15/9/16 8:14,0,7.76E+17,0,@valenciadada131 Pasayahin lalo ang meal mo with a glass of COCA-COLA. Watch &amp; share the video - https://t.co/rBhOZPGVhD #TasteTheFeeling,56373,71983,18733
15/9/16 8:12,0,7.76E+17,1,"@qwnjin Ano ang meal na perfect match ng COCA-COLA? Share it with us! Share this video, too - https://t.co/rBhOZPGVhD #TasteTheFeeling :)",56373,71983,18733
15/9/16 8:12,0,7.76E+17,0,@veyaaki Craving for comfort food while on break? Pair it w/ COCA-COLA &amp; share it w/ #TasteTheFeeling! :) https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:11,0,7.76E+17,0,@yancyvance @michellebanawa1 #TasteTheFeeling of comfort when you eat your next meal w/ a COCA-COLA! Watch for more--https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:11,0,7.76E+17,1,RT @CocaColaPH: @delunaderick @Stunniyeng Pasayahin lalo ang meal mo with a glass of COCA-COLA. Watch for more - https://t.co/rBhOZPGVhD #T‰Û_,22317,738,513
15/9/16 8:10,0,7.76E+17,0,"@AliahVivas Pair that with a tall glass of ice-cold COKE! Watch this clip, &amp; see what we mean. https://t.co/rBhOZPGVhD #TasteTheFeeling",56373,71983,18733
15/9/16 8:10,0,7.76E+17,0,@cojulieann #TasteTheFeeling of refreshment w/ COKE on your next food trip. Watch &amp; share the video - https://t.co/rBhOZPGVhD,56373,71983,18733
15/9/16 8:09,1,7.76E+17,1,@delunaderick @Stunniyeng Pasayahin lalo ang meal mo with a glass of COCA-COLA. Watch for more - https://t.co/rBhOZPGVhD #TasteTheFeeling,56373,71983,18733
15/9/16 8:09,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",38,23,92
15/9/16 8:05,0,7.76E+17,0,@chrlsstrd @_laurenvienne @tinsiops Celebrate your wins w/ COCA-COLA! Share the excitement with #TasteTheFeeling. :) https://t.co/sfUhUhXaMg,56373,71983,18733
15/9/16 8:03,2,7.76E+17,0,@jaysialsisto @Joskosh @markstephenf Take a short break w/ COKE! Invite the whole gang &amp; #TasteTheFeeling of fun. https://t.co/xnzXiHTUI7,56373,71983,18733
