"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 14:20:05,FALSE,NA,"781498790004031489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","World_Socialism",89,TRUE,FALSE,NA,NA
"RT @sadikMazanoglu: 28.09.2016
para girisi olan hisseler;
#GARAN
#VAKBN
#AKBNK
#HALKB
#ISCTR
para çikisi olan hisseler;
#BIMAS
#KRDMD
#SODA…",FALSE,0,NA,2016-09-29 14:16:51,FALSE,NA,"781497976522960896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beysenturk1",1,TRUE,FALSE,NA,NA
"Ð<U+272F> Vintage #Soda Fountain Glasses at #Duckwells
 #midcentury https://t.co/NFJzlf2gTy https://t.co/UXnQL7WoWQ",FALSE,0,NA,2016-09-29 14:14:02,FALSE,NA,"781497265718427648",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye - Tweet My Website</a>","duckwellsvintag",0,FALSE,FALSE,NA,NA
"Dr.Eben Carsey: Let's pass the #soda tax to ensure a healthy future for all kids     https://t.co/mMVctKUyC8",FALSE,2,NA,2016-09-29 14:06:28,FALSE,NA,"781495362661916672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","forboulderkids",0,FALSE,FALSE,NA,NA
".

<U+3046><U+3075><U+3075><U+3075><U+3002><U+5E78><U+305B>( ´ <U+25BD> ` )<U+FF89>

.

#<U+5C71><U+7530><U+6DBC><U+4ECB> 
#SODA #Hanako #TVnavi https://t.co/IJOQiXodLx",FALSE,5,NA,2016-09-29 14:02:01,FALSE,NA,"781494244372393984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","s_RY_j",0,FALSE,FALSE,NA,NA
"And even more hipster fritzkola: Fritz-mate
#mate #matetee #getraenk #drink #soda #clubmate… https://t.co/MrcCpCeXku",FALSE,0,NA,2016-09-29 13:59:07,FALSE,NA,"781493513221537792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","twofoodieseat",0,FALSE,FALSE,NA,NA
"Bugün #ADEL #CUSAN #SODA #TAVHL #EGSER den sonra
finali #DGATE ile yaptik
tesekkürler @MuratGkrmak2 https://t.co/AJwGX38w5e",FALSE,10,NA,2016-09-29 13:57:31,FALSE,NA,"781493108588613632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","winingtrader",0,FALSE,FALSE,NA,NA
"RT @party_P_MUSIC_: ¦DJ soda<U+3061><U+3083><U+3093><U+3084><U+3063><U+3071><U+308A><U+53EF><U+611B><U+3044>

#DJPress
#EDM
#<U+53EF><U+611B><U+3044>
#DJsoda
#soda
<U+3001>
 https://t.co/SbtuYqQOnQ",FALSE,0,NA,2016-09-29 13:50:57,FALSE,NA,"781491456594751488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamozimozi",564,TRUE,FALSE,NA,NA
"@PenchoyAida: Yo quiero ir a la Ciudad de la Furia.  #CancionesDeLugares #Soda<ed><U+00A0><U+00BD><ed><U+00B2><U+009B>",FALSE,0,"PenchoyAida",2016-09-29 13:46:46,FALSE,"781479558448975874","781490405443407873","178986051","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KattyBelloso",0,FALSE,FALSE,NA,NA
"#21Savage - #Soda https://t.co/eHDiPJM4Q2",FALSE,1,NA,2016-09-29 13:40:46,FALSE,NA,"781488893627600897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realboijino1",0,FALSE,FALSE,NA,NA
"RT @SODANationWide: The effects can last a long time after the final incident #SODA knows how important support is https://t.co/ETNOqqCcCK…",FALSE,0,NA,2016-09-29 13:34:03,FALSE,NA,"781487205525184512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VixPullman",3,TRUE,FALSE,NA,NA
"#US soda-tax battle bubbles up in San Francisco Bay Area https://t.co/GdhvD5mU7e #capolitics #politics #healthcare #soda #SF #BayArea",FALSE,2,NA,2016-09-29 13:33:05,FALSE,NA,"781486959269031937",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckDalldorf",0,FALSE,FALSE,NA,NA
"RT @shade826: #SODA https://t.co/w8QhmrySfm https://t.co/b2p9r4VV7d",FALSE,0,NA,2016-09-29 13:26:17,FALSE,NA,"781485250904031232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shade826",2,TRUE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 13:18:54,FALSE,NA,"781483392072228864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulleoclarke",89,TRUE,FALSE,NA,NA
"RT @borsacibaba: @borsacibaba #SODA #BB DARBE SONRASINDAKI DÜSÜSTOPARLANMIS.TEKRAR KANAL IÇINE GIRMIS. https://t.co/5LI6onKffu",FALSE,0,NA,2016-09-29 13:18:27,FALSE,NA,"781483279388143616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","selim0942",7,TRUE,FALSE,NA,NA
