"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"b+<U+2605>b+<U+2605> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30D5><U+30A9><U+30ED><U+30D0> #<U+30D5><U+30A9><U+30ED><U+30D0>100 #<U+30D5><U+30A9><U+30ED><U+30FC> #sougofollow #<U+30D5><U+30A9><U+30ED><U+30FC><U+8FD4><U+3057> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC>100 #RT #follwme #coke",FALSE,0,NA,2016-09-29 15:10:20,FALSE,NA,"781511433112604675",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"Amber Straight Side Coca Cola Bottle-Painesville Mineral Springs Co. https://t.co/4ANtZfXsU8 #CocaCola #Coke https://t.co/L8nldCCrIv",FALSE,0,NA,2016-09-29 15:01:18,FALSE,NA,"781509163058769920",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"#coke whores porn sex 46 the city book https://t.co/B974l0JsZO",FALSE,0,NA,2016-09-29 15:01:07,FALSE,NA,"781509115738718208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","grishin_zinon",0,FALSE,FALSE,NA,NA
"The people that present #CokeOnTheBeat on #ZTV stay drinking #Coke hey! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
I don't know how they do it.",FALSE,0,NA,2016-09-29 14:48:56,FALSE,NA,"781506048733638656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MileyCce",0,FALSE,FALSE,NA,NA
"Coca Cola Contour Bottle #Christmas Ornament Collection Santa Hat #cocacola #coke https://t.co/wUSGvaS72a https://t.co/DZMYYMgKR5",FALSE,0,NA,2016-09-29 14:46:05,FALSE,NA,"781505333394968576",NA,"<a href=""https://www.SchedulePictures.com"" rel=""nofollow"">SchedulePictures</a>","JandJShoppe",0,FALSE,FALSE,NA,NA
"Retro 12 Gallon Drink Coca-Cola Waste Trash Can https://t.co/ZA0L65Gg6h #CocaCola #Coke https://t.co/klydwZ9aLg",FALSE,0,NA,2016-09-29 14:43:25,FALSE,NA,"781504659164835840",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"b+b+ #<U+30B9><U+30CC><U+30FC><U+30D4><U+30FC> #<U+5D50>new<U+30B7><U+30F3><U+30B0><U+30EB><U+767A><U+58F2><U+6C7A><U+307E><U+308A><U+307E><U+3057><U+305F><U+3088><U+3063><U+3066><U+3053><U+3068><U+3067>RT<U+3057><U+3066><U+7E4B><U+304C><U+308A><U+307E><U+305B><U+3093><U+304B> #RT #follwme #coke",FALSE,0,NA,2016-09-29 14:40:23,FALSE,NA,"781503897550458880",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"Coca-Cola Brand Collectible 'THIRST STOPS HERE' Limited Edition Motion… https://t.co/thFsqlp6ni #CocaCola #Coke https://t.co/vLWRMNwTgo",FALSE,0,NA,2016-09-29 14:23:08,FALSE,NA,"781499557486010368",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 14:20:05,FALSE,NA,"781498790004031489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","World_Socialism",89,TRUE,FALSE,NA,NA
"Use This To Burn Anyone Who Drives A Rice Rocket

https://t.co/q6qTuhI64t

#honda #ricerocket #cocacola #coke https://t.co/n3jjAeOX1A",FALSE,0,NA,2016-09-29 14:12:29,FALSE,NA,"781496874381545476",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","funviral9871",0,FALSE,FALSE,NA,NA
"b+<U+2605> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC>100 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>01058642879 #<U+C11C><U+BA74><U+D480><U+C2F8><U+B871>01058642879 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>010v5864v2879 #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC><U+52DF><U+96C6> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30D5><U+30A9><U+30ED><U+30D0> #<U+30D5><U+30A9><U+30ED><U+30D0>100 #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC>100 #RT #follwme #coke",FALSE,0,NA,2016-09-29 14:10:22,FALSE,NA,"781496343663521792",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"RT @Ms1Scs: Is #Trump campaign holding #HowardDean accountable for #Coke #tweet?",FALSE,0,NA,2016-09-29 14:09:42,FALSE,NA,"781496177640542210",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mackette52",1,TRUE,FALSE,NA,NA
"Epic Slow Motion Coke and Mentos Explosion

VIDEO: https://t.co/zMZ2uJyqY5

#epic #slomo #coke #mentos https://t.co/cFFwlWdZLd",FALSE,0,NA,2016-09-29 14:06:55,FALSE,NA,"781495473714688004",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","FunVidClick",0,FALSE,FALSE,NA,NA
"Some #Retro Ad inspiration https://t.co/7AfhdIjBfp #vintage #coke #cocacola #inspiration #ad #marketing… https://t.co/jQF3rvDWtr",FALSE,0,NA,2016-09-29 14:01:23,TRUE,NA,"781494083403542528",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible App</a>","debbielangley",0,FALSE,FALSE,NA,NA
"That's the no.1 am ""@SPERIE_: @Mss_Ezinne @DaiIyBangers this is also another way to double sales.... Lol ""niceeeee"" #coke""",FALSE,0,NA,2016-09-29 13:53:32,FALSE,NA,"781492107701809152",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","Mss_Ezinne",0,FALSE,FALSE,NA,NA
"I added a video to a @YouTube playlist https://t.co/9Lmxp0Dwpw #coke #cocacola #thatsgold Ice Cold Can of Coke taste test &amp; review",FALSE,0,NA,2016-09-29 13:52:04,FALSE,NA,"781491738900828160",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","ActuallyRodney",0,FALSE,FALSE,NA,NA
"Store front Coca Cola sign ,,vintage original,, https://t.co/MOeq9ltX28 #CocaCola #Coke https://t.co/VfbGVz0X7N",FALSE,0,NA,2016-09-29 13:43:20,FALSE,NA,"781489540905086976",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"Vintage coca cola bench https://t.co/Ba14UqK6iw #CocaCola #Coke https://t.co/q71jq1HPAT",FALSE,0,NA,2016-09-29 13:22:18,FALSE,NA,"781484248876199936",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ShoppingMalls2U",0,FALSE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 13:18:54,FALSE,NA,"781483392072228864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulleoclarke",89,TRUE,FALSE,NA,NA
"RT @mercola: THIS happens to your body 10-60 minutes after drinking #Coke---or any #soda. https://t.co/108KPKH8sH",FALSE,0,NA,2016-09-29 13:16:26,FALSE,NA,"781482770157694976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urracing2",89,TRUE,FALSE,NA,NA
"Coke is the best drink in the world! #coke",FALSE,0,NA,2016-09-29 13:13:40,FALSE,NA,"781482076222676992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","borneobrian",0,FALSE,FALSE,NA,NA
"Howard Dean - now THIS sounds like a guy who did a mountain of blow... #sniffle #HowardDean #coke  https://t.co/SsAy38fc88",FALSE,0,NA,2016-09-29 13:13:34,FALSE,NA,"781482049374937088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RMattPrice",0,FALSE,FALSE,NA,NA
"@GovHowardDean If there is anyone that knows about Coke, it's you and @billclinton !! Thanks for reminding us we made the right choice.#COKE",FALSE,0,"GovHowardDean",2016-09-29 13:10:33,FALSE,NA,"781481291409612800","603025587","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JeffLeesSummit",0,FALSE,FALSE,NA,NA
"a+ #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC>100 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>01058642879 #<U+C11C><U+BA74><U+D480><U+C2F8><U+B871>01058642879 #<U+BD80><U+C0B0><U+D480><U+C2F8><U+B871>010v5864v2879 #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC><U+52DF><U+96C6> #<U+76F8><U+4E92><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30EA><U+30D5><U+30A9><U+30ED><U+30FC> #<U+30D5><U+30A9><U+30ED><U+30D0> #<U+30D5><U+30A9><U+30ED><U+30D0>100 #<U+30D5><U+30A9><U+30ED><U+30FC><U+8FD4><U+3057> #<U+62E1> #RT #follwme #coke",FALSE,0,NA,2016-09-29 13:10:22,FALSE,NA,"781481242315198464",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kkaros257",0,FALSE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:10:09,FALSE,NA,"781481191396483072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SamBallnergi",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:09:43,FALSE,NA,"781481079152648192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dabaeerza",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:09:23,FALSE,NA,"781480996612866048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lBairSchloss",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:09:00,FALSE,NA,"781480902111232000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Blacktalmzian",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:07:56,FALSE,NA,"781480630165053441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","09veroni1ac_3",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:07:17,FALSE,NA,"781480469607149568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KordeliaciusM",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:06:53,FALSE,NA,"781480368742346752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vinaygbaa",1500,TRUE,FALSE,NA,NA
"RT @RealAndyMagro: Das beste Getränk der Welt #Coke #CocaCola #CherryCoke #VanillaCoke @CocaCola_De !!@CocaColaCo = #WorldwideExportMaster…",FALSE,0,NA,2016-09-29 13:06:29,FALSE,NA,"781480268565733376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BMWofAlexanadir",1500,TRUE,FALSE,NA,NA
